tanggal,username,full_text,cleaning,case_folding,hasil_normalisasi,token,stemming_data,sentiment_label_lexicon,manual
Wed Dec 18,Lia_Chris3,@merekamcahaya Ngurus subsidi LPG n BBM &amp; BLT berpuluh2x tahun supaya tepat sasaran ajah gak pernah bisa.. skrg mau habiskan anggaran sekian puluh T lagi buat makan gratis..dari uang pajak. akh.. kok aku pesimis yah.. ujungnya hanya akan dinikmati pemenang tender ajah, Ngurus subsidi LPG n BBM amp BLT berpuluhx tahun supaya tepat sasaran ajah gak pernah bisa skrg mau habiskan anggaran sekian puluh T lagi buat makan gratisdari uang pajak akh kok aku pesimis yah ujungnya hanya akan dinikmati pemenang tender ajah, ngurus subsidi lpg n bbm amp blt berpuluhx tahun supaya tepat sasaran ajah gak pernah bisa skrg mau habiskan anggaran sekian puluh t lagi buat makan gratisdari uang pajak akh kok aku pesimis yah ujungnya hanya akan dinikmati pemenang tender ajah,mengurus subsidi lpg dan bahan bakar minyak amp bantuan langsung tunai berpuluhx tahun supaya tepat sasaran saja tidak pernah bisa sekarang mau habiskan anggaran sekian puluh t lagi buat makan gratisdari uang pajak akh kok aku pesimis ya ujungnya hanya akan dinikmati pemenang tender saja,"['mengurus', 'subsidi', 'lpg', 'dan', 'bahan', 'bakar', 'minyak', 'amp', 'bantuan', 'langsung', 'tunai', 'berpuluhx', 'tahun', 'supaya', 'tepat', 'sasaran', 'saja', 'tidak', 'pernah', 'bisa', 'sekarang', 'mau', 'habiskan', 'anggaran', 'sekian', 'puluh', 't', 'lagi', 'buat', 'makan', 'gratisdari', 'uang', 'pajak', 'akh', 'kok', 'aku', 'pesimis', 'ya', 'ujungnya', 'hanya', 'akan', 'dinikmati', 'pemenang', 'tender', 'saja']",urus subsidi lpg dan bahan bakar minyak amp bantu langsung tunai berpuluhx tahun supaya tepat sasar saja tidak pernah bisa sekarang mau habis anggar sekian puluh t lagi buat makan gratisdari uang pajak akh kok aku pesimis ya ujung hanya akan nikmat menang tender saja,netral,negatif
Tue Dec 17,seketikanet,Syafruddin dari Komisi XII DPR RI mengusulkan langkah strategis untuk memastikan subsidi BBM Tepat Sasaran melalui #digitalisasi dan #integrasi #Data. #Subsidi #BBM #SmartCard #MyPertamina #DPRRI #update #news #seketika https://t.co/Vku1Jt2F3P,Syafruddin dari Komisi XII DPR RI mengusulkan langkah strategis untuk memastikan subsidi BBM Tepat Sasaran melalui digitalisasi dan integrasi Data Subsidi BBM SmartCard MyPertamina DPRRI update news seketika ,syafruddin dari komisi xii dpr ri mengusulkan langkah strategis untuk memastikan subsidi bbm tepat sasaran melalui digitalisasi dan integrasi data subsidi bbm smartcard mypertamina dprri update news seketika ,syafruddin dari komisi xii dewan perwakilan rakyat ri mengusulkan langkah strategis untuk memastikan subsidi bahan bakar minyak tepat sasaran melalui digitalisasi dan integrasi data subsidi bahan bakar minyak smartcard mypertamina dprri pembaruan news seketika,"['syafruddin', 'dari', 'komisi', 'xii', 'dewan', 'perwakilan', 'rakyat', 'ri', 'mengusulkan', 'langkah', 'strategis', 'untuk', 'memastikan', 'subsidi', 'bahan', 'bakar', 'minyak', 'tepat', 'sasaran', 'melalui', 'digitalisasi', 'dan', 'integrasi', 'data', 'subsidi', 'bahan', 'bakar', 'minyak', 'smartcard', 'mypertamina', 'dprri', 'pembaruan', 'news', 'seketika']",syafruddin dari komisi xii dewan wakil rakyat ri usul langkah strategis untuk pasti subsidi bahan bakar minyak tepat sasar lalu digitalisasi dan integrasi data subsidi bahan bakar minyak smartcard mypertamina dprri baru news ketika,netral,netral
Tue Dec 17,law_ismylife,Syafruddin Anggota Komisi XII DPR RI mengusulkan beberapa langkah strategis agar subsidi BBM tepat sasaran dengan menerapkan digitalisasi dan data terintegrasi u/ meningkatkan akuntabilitas serta efisiensi penyaluran subsidi. Siang | PPN 12% | pelakornya https://t.co/FiLMyvR8fY,Syafruddin Anggota Komisi XII DPR RI mengusulkan beberapa langkah strategis agar subsidi BBM tepat sasaran dengan menerapkan digitalisasi dan data terintegrasi u meningkatkan akuntabilitas serta efisiensi penyaluran subsidi Siang  PPN   pelakornya ,syafruddin anggota komisi xii dpr ri mengusulkan beberapa langkah strategis agar subsidi bbm tepat sasaran dengan menerapkan digitalisasi dan data terintegrasi u meningkatkan akuntabilitas serta efisiensi penyaluran subsidi siang  ppn   pelakornya ,syafruddin anggota komisi xii dewan perwakilan rakyat ri mengusulkan beberapa langkah strategis agar subsidi bahan bakar minyak tepat sasaran dengan menerapkan digitalisasi dan data terintegrasi kamu meningkatkan akuntabilitas serta efisiensi penyaluran subsidi siang ppn pelakornya,"['syafruddin', 'anggota', 'komisi', 'xii', 'dewan', 'perwakilan', 'rakyat', 'ri', 'mengusulkan', 'beberapa', 'langkah', 'strategis', 'agar', 'subsidi', 'bahan', 'bakar', 'minyak', 'tepat', 'sasaran', 'dengan', 'menerapkan', 'digitalisasi', 'dan', 'data', 'terintegrasi', 'kamu', 'meningkatkan', 'akuntabilitas', 'serta', 'efisiensi', 'penyaluran', 'subsidi', 'siang', 'ppn', 'pelakornya']",syafruddin anggota komisi xii dewan wakil rakyat ri usul beberapa langkah strategis agar subsidi bahan bakar minyak tepat sasar dengan terap digitalisasi dan data integrasi kamu tingkat akuntabilitas serta efisiensi salur subsidi siang ppn pelakornya,netral,netral
Tue Dec 17,Nge_reogx,Subsidi BBM tidak efisien dan tidak tepat sasaran. Regulasi penyaluran subsidi BBM harus mulai dengan digitalisasi dan integrasi data agar bisa tepat sasaran penerima. Pertamina meluncurkan aplikasi MyPertamina. https://t.co/rLq4dXU4hg,Subsidi BBM tidak efisien dan tidak tepat sasaran Regulasi penyaluran subsidi BBM harus mulai dengan digitalisasi dan integrasi data agar bisa tepat sasaran penerima Pertamina meluncurkan aplikasi MyPertamina ,subsidi bbm tidak efisien dan tidak tepat sasaran regulasi penyaluran subsidi bbm harus mulai dengan digitalisasi dan integrasi data agar bisa tepat sasaran penerima pertamina meluncurkan aplikasi mypertamina ,subsidi bahan bakar minyak tidak efisien dan tidak tepat sasaran regulasi penyaluran subsidi bahan bakar minyak harus mulai dengan digitalisasi dan integrasi data agar bisa tepat sasaran penerima pertamina meluncurkan aplikasi mypertamina,"['subsidi', 'bahan', 'bakar', 'minyak', 'tidak', 'efisien', 'dan', 'tidak', 'tepat', 'sasaran', 'regulasi', 'penyaluran', 'subsidi', 'bahan', 'bakar', 'minyak', 'harus', 'mulai', 'dengan', 'digitalisasi', 'dan', 'integrasi', 'data', 'agar', 'bisa', 'tepat', 'sasaran', 'penerima', 'pertamina', 'meluncurkan', 'aplikasi', 'mypertamina']",subsidi bahan bakar minyak tidak efisien dan tidak tepat sasar regulasi salur subsidi bahan bakar minyak harus mulai dengan digitalisasi dan integrasi data agar bisa tepat sasar terima pertamina luncur aplikasi mypertamina,netral,netral
Tue Dec 17,info_maz_eh,Subsidi BBM harus tepat sasaran. Digitalisasi dan integritas data sebagai acuan kelayakan penerima mendapatkan subsidi. https://t.co/YCpUgXhoXD,Subsidi BBM harus tepat sasaran Digitalisasi dan integritas data sebagai acuan kelayakan penerima mendapatkan subsidi ,subsidi bbm harus tepat sasaran digitalisasi dan integritas data sebagai acuan kelayakan penerima mendapatkan subsidi ,subsidi bahan bakar minyak harus tepat sasaran digitalisasi dan integritas data sebagai acuan kelayakan penerima mendapatkan subsidi,"['subsidi', 'bahan', 'bakar', 'minyak', 'harus', 'tepat', 'sasaran', 'digitalisasi', 'dan', 'integritas', 'data', 'sebagai', 'acuan', 'kelayakan', 'penerima', 'mendapatkan', 'subsidi']",subsidi bahan bakar minyak harus tepat sasar digitalisasi dan integritas data bagai acu layak terima dapat subsidi,netral,netral
Tue Dec 17,_cenk90E,Selasa Siang Genkz.. Syafruddin anggota Komisi XII DPR RI Angkat bicara terkait Subsidi BBM 2025. Dgn berkembang nya digitalisasi dan integrasi data sdh selayaknya Subsidi BBM tersebut TEPAT SASARAN..!! Sambil nyimak maksi nya pakai rendang apa seblak nih..? BPJSTK https://t.co/mCQSN5O2FO,Selasa Siang Genkz Syafruddin anggota Komisi XII DPR RI Angkat bicara terkait Subsidi BBM  Dgn berkembang nya digitalisasi dan integrasi data sdh selayaknya Subsidi BBM tersebut TEPAT SASARAN Sambil nyimak maksi nya pakai rendang apa seblak nih BPJSTK ,selasa siang genkz syafruddin anggota komisi xii dpr ri angkat bicara terkait subsidi bbm  dgn berkembang nya digitalisasi dan integrasi data sdh selayaknya subsidi bbm tersebut tepat sasaran sambil nyimak maksi nya pakai rendang apa seblak nih bpjstk ,selasa siang genkz syafruddin anggota komisi xii dewan perwakilan rakyat ri angkat bicara terkait subsidi bahan bakar minyak dengan berkembang nya digitalisasi dan integrasi data sudah selayaknya subsidi bahan bakar minyak tersebut tepat sasaran sambil menyimak maksi nya pakai rendang apa seblak nih bpjstk,"['selasa', 'siang', 'genkz', 'syafruddin', 'anggota', 'komisi', 'xii', 'dewan', 'perwakilan', 'rakyat', 'ri', 'angkat', 'bicara', 'terkait', 'subsidi', 'bahan', 'bakar', 'minyak', 'dengan', 'berkembang', 'nya', 'digitalisasi', 'dan', 'integrasi', 'data', 'sudah', 'selayaknya', 'subsidi', 'bahan', 'bakar', 'minyak', 'tersebut', 'tepat', 'sasaran', 'sambil', 'menyimak', 'maksi', 'nya', 'pakai', 'rendang', 'apa', 'seblak', 'nih', 'bpjstk']",selasa siang genkz syafruddin anggota komisi xii dewan wakil rakyat ri angkat bicara kait subsidi bahan bakar minyak dengan kembang nya digitalisasi dan integrasi data sudah layak subsidi bahan bakar minyak sebut tepat sasar sambil simak maksi nya pakai rendang apa seblak nih bpjstk,netral,netral
Tue Dec 17,jjenduk1,Pengelolaan penyaluran BBM yg dilakukan Pertamina dgn digitalisasi dan terintergrasi data. Lewat aplikasi MyPertamina diharapkan penyaluran subsidi BBM bisa tepat sasaran. https://t.co/Utiawb38p5,Pengelolaan penyaluran BBM yg dilakukan Pertamina dgn digitalisasi dan terintergrasi data Lewat aplikasi MyPertamina diharapkan penyaluran subsidi BBM bisa tepat sasaran ,pengelolaan penyaluran bbm yg dilakukan pertamina dgn digitalisasi dan terintergrasi data lewat aplikasi mypertamina diharapkan penyaluran subsidi bbm bisa tepat sasaran ,pengelolaan penyaluran bahan bakar minyak yang dilakukan pertamina dengan digitalisasi dan terintergrasi data lewat aplikasi mypertamina diharapkan penyaluran subsidi bahan bakar minyak bisa tepat sasaran,"['pengelolaan', 'penyaluran', 'bahan', 'bakar', 'minyak', 'yang', 'dilakukan', 'pertamina', 'dengan', 'digitalisasi', 'dan', 'terintergrasi', 'data', 'lewat', 'aplikasi', 'mypertamina', 'diharapkan', 'penyaluran', 'subsidi', 'bahan', 'bakar', 'minyak', 'bisa', 'tepat', 'sasaran']",kelola salur bahan bakar minyak yang laku pertamina dengan digitalisasi dan terintergrasi data lewat aplikasi mypertamina harap salur subsidi bahan bakar minyak bisa tepat sasar,netral,netral
Tue Dec 17,sukagimmick93,Subsidi BBM harus tepat sasarn. Syafruddin menekankan pentingnya pengawasan ketat dan penerapan harga berjenjang sbg alternatif terakhir apabila digitalisasi belum dapat diterapkan. No Viral No Justice Selasa Sianggg https://t.co/KHCQFerHeh,Subsidi BBM harus tepat sasarn Syafruddin menekankan pentingnya pengawasan ketat dan penerapan harga berjenjang sbg alternatif terakhir apabila digitalisasi belum dapat diterapkan No Viral No Justice Selasa Sianggg ,subsidi bbm harus tepat sasarn syafruddin menekankan pentingnya pengawasan ketat dan penerapan harga berjenjang sbg alternatif terakhir apabila digitalisasi belum dapat diterapkan no viral no justice selasa sianggg ,subsidi bahan bakar minyak harus tepat sasarn syafruddin menekankan pentingnya pengawasan ketat dan penerapan harga berjenjang sebagai alternatif terakhir apabila digitalisasi belum dapat diterapkan no viral no justice selasa sianggg,"['subsidi', 'bahan', 'bakar', 'minyak', 'harus', 'tepat', 'sasarn', 'syafruddin', 'menekankan', 'pentingnya', 'pengawasan', 'ketat', 'dan', 'penerapan', 'harga', 'berjenjang', 'sebagai', 'alternatif', 'terakhir', 'apabila', 'digitalisasi', 'belum', 'dapat', 'diterapkan', 'no', 'viral', 'no', 'justice', 'selasa', 'sianggg']",subsidi bahan bakar minyak harus tepat sasarn syafruddin tekan penting awas ketat dan terap harga jenjang bagai alternatif akhir apabila digitalisasi belum dapat terap no viral no justice selasa sianggg,netral,netral
Tue Dec 17,demitfrekuensi,Perlu diterapkannya digitalisasi dan integrasi data untuk penyaluran BBM subsidi deminmemastikan subsidi tepat sasaran. Jika digitalisasi belum di terapkan pemerintah harus memberikan subsidi langsung dalam bentuk uang kepada penerima manfaat. https://t.co/WST5f0iIgO,Perlu diterapkannya digitalisasi dan integrasi data untuk penyaluran BBM subsidi deminmemastikan subsidi tepat sasaran Jika digitalisasi belum di terapkan pemerintah harus memberikan subsidi langsung dalam bentuk uang kepada penerima manfaat ,perlu diterapkannya digitalisasi dan integrasi data untuk penyaluran bbm subsidi deminmemastikan subsidi tepat sasaran jika digitalisasi belum di terapkan pemerintah harus memberikan subsidi langsung dalam bentuk uang kepada penerima manfaat ,perlu diterapkannya digitalisasi dan integrasi data untuk penyaluran bahan bakar minyak subsidi deminmemastikan subsidi tepat sasaran jika digitalisasi belum di terapkan pemerintah harus memberikan subsidi langsung dalam bentuk uang kepada penerima manfaat,"['perlu', 'diterapkannya', 'digitalisasi', 'dan', 'integrasi', 'data', 'untuk', 'penyaluran', 'bahan', 'bakar', 'minyak', 'subsidi', 'deminmemastikan', 'subsidi', 'tepat', 'sasaran', 'jika', 'digitalisasi', 'belum', 'di', 'terapkan', 'pemerintah', 'harus', 'memberikan', 'subsidi', 'langsung', 'dalam', 'bentuk', 'uang', 'kepada', 'penerima', 'manfaat']",perlu terap digitalisasi dan integrasi data untuk salur bahan bakar minyak subsidi deminmemastikan subsidi tepat sasar jika digitalisasi belum di terap perintah harus beri subsidi langsung dalam bentuk uang kepada terima manfaat,netral,netral
Tue Dec 17,politik_6usuk,Subsidi BBM 2025 harus tepat sasaran. Langkah2 strategis yg diambil salah satunya dengan menerapkan digitalisasi dan integrasi data agar penyaluran subsidi efisien. https://t.co/qFXM0BwWvU,Subsidi BBM  harus tepat sasaran Langkah strategis yg diambil salah satunya dengan menerapkan digitalisasi dan integrasi data agar penyaluran subsidi efisien ,subsidi bbm  harus tepat sasaran langkah strategis yg diambil salah satunya dengan menerapkan digitalisasi dan integrasi data agar penyaluran subsidi efisien ,subsidi bahan bakar minyak harus tepat sasaran langkah strategis yang diambil salah satunya dengan menerapkan digitalisasi dan integrasi data agar penyaluran subsidi efisien,"['subsidi', 'bahan', 'bakar', 'minyak', 'harus', 'tepat', 'sasaran', 'langkah', 'strategis', 'yang', 'diambil', 'salah', 'satunya', 'dengan', 'menerapkan', 'digitalisasi', 'dan', 'integrasi', 'data', 'agar', 'penyaluran', 'subsidi', 'efisien']",subsidi bahan bakar minyak harus tepat sasar langkah strategis yang ambil salah satu dengan terap digitalisasi dan integrasi data agar salur subsidi efisien,netral,netral
